nama_produk,harga_produk,toko,kota,jumlah_penjualan,rating_produk
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,Rp15.000,,,250+ terjual,4.9
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp24.000,,,80+ terjual,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,,,250+ terjual,4.8
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Kerupuk seblak pedas,Rp15.000,MACALONI SNACK,Cimahi,10 terjual,5.0
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,Rp16.618,Lakoca Official Shop,Cimahi,100+ terjual,4.9
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Mawar Warna,Rp23.500,BociKakang,Jakarta Selatan,250+ terjual,5.0
Seblak instant murah,Rp4.900,dapurbulbin,Bandung,,
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
SEBLAK INSTAN MAMANG TERMURAH,Rp4.200,global cookware1,Jakarta Barat,250+ terjual,5.0
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
SEBLAK INSTAN MAMANG TERMURAH,Rp4.200,global cookware1,Jakarta Barat,250+ terjual,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,60+ terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,Rp41.000,JAGO TOK PETOK,Surabaya,100+ terjual,4.9
KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp18.000,AyundaSnack,Bandung,80+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,100+ terjual,5.0
